data_channel_is_lifestyle,data_channel_is_entertainment,data_channel_is_bus,data_channel_is_socmed,data_channel_is_tech,data_channel_is_world,avg_positive_polarity,shares
0,0,1,0,0,0,0.2869146,711
0,0,0,0,1,0,0.4277205,891
0,0,0,0,1,0,0.56666666,3600
0,0,0,0,0,1,0.2984127,710
1,0,0,0,0,0,0.2777778,5700
0,0,0,0,1,0,0.40824473,2800
0,0,0,0,1,0,0.416343,445
0,0,0,0,1,0,0.55655843,1500
1,0,0,0,0,0,0.33329725,462
0,0,0,1,0,0,0.36041668,2600
0,0,0,0,1,0,0.40336373,4200
0,0,0,0,1,0,0.4237379,1200
0,0,0,0,1,0,0.4194405,1500
0,0,1,0,0,0,0.36666667,575
0,1,0,0,0,0,0.42746213,1200
0,0,0,0,1,0,0.4135176,382
0,0,0,0,0,0,0.3572691,1100
0,0,0,0,1,0,0.35393938,1300
0,0,1,0,0,0,0.31289762,819
0,0,0,0,1,0,0.22213763,598
0,0,0,0,1,0,0.17891775,545
0,0,0,0,1,0,0.4148757,1300
0,1,0,0,0,0,0.32221112,1300
1,0,0,0,0,0,0.35854977,1200
0,0,0,0,1,0,0.41949093,500
0,1,0,0,0,0,0.3446524,455
0,0,0,0,1,0,0.3696804,1400
0,0,0,0,0,1,0.34573004,1400
0,1,0,0,0,0,0.45497835,1100
0,0,0,0,0,0,0.37777779,5700
0,0,0,0,0,0,0.4440625,7100
1,0,0,0,0,0,0.3532091,2300
0,1,0,0,0,0,0.15,575
0,0,0,0,0,0,0.2857143,6000
1,0,0,0,0,0,0.33333334,752
0,0,0,0,0,0,0.4309091,1600
0,0,0,0,0,0,0.33387446,417
0,0,1,0,0,0,0.2971247,474
0,1,0,0,0,0,0.40655252,2100
0,0,0,0,0,0,0.85,513
0,0,0,0,0,0,0.35936335,2200
0,0,0,0,1,0,0.31285715,727
0,0,1,0,0,0,0.36666667,648
0,0,0,0,0,1,0.6875,450
0,0,0,0,1,0,0.3590909,1600
0,0,1,0,0,0,0.3642857,606
0,1,0,0,0,0,0.30838385,5000
0,0,0,0,0,0,0.3,28000
1,0,0,0,0,0,0.36250678,972
0,0,1,0,0,0,0.4283868,3800
0,0,0,0,1,0,0.30342856,1400
0,0,0,0,0,1,0.33381802,1600
1,0,0,0,0,0,0.40120158,1300
0,0,1,0,0,0,0.41391358,1700
0,0,0,0,1,0,0.38035125,2400
0,1,0,0,0,0,0.20757575,1200
1,0,0,0,0,0,0.41402224,2400
0,0,0,0,0,1,0.36142856,1500
0,0,0,0,0,0,0.45238096,1100
0,0,0,0,1,0,0.43321452,835
0,0,0,0,0,0,0.45833334,12000
