data_channel_is_lifestyle,data_channel_is_entertainment,data_channel_is_bus,data_channel_is_socmed,data_channel_is_tech,data_channel_is_world,avg_negative_polarity,shares
0,0,1,0,0,0,-0.11875,711
0,0,0,0,1,0,-0.24277778,891
0,0,0,0,1,0,-0.125,3600
0,0,0,0,0,1,-0.23809524,710
1,0,0,0,0,0,-0.125,5700
0,0,0,0,1,0,-0.20654762,2800
0,0,0,0,1,0,-0.23026316,445
0,0,0,0,1,0,-0.2638889,1500
1,0,0,0,0,0,-0.1775,462
0,0,0,1,0,0,-0.39285713,2600
0,0,0,0,1,0,-0.21488096,4200
0,0,0,0,1,0,-0.26973686,1200
0,0,0,0,1,0,-0.22291666,1500
0,0,1,0,0,0,-0.3,575
0,1,0,0,0,0,-0.3638889,1200
0,0,0,0,1,0,-0.20490196,382
0,0,0,0,0,0,-0.33888888,1100
0,0,0,0,1,0,-0.4,1300
0,0,1,0,0,0,0,819
0,0,0,0,1,0,-0.18940972,598
0,0,0,0,1,0,-0.15092592,545
0,0,0,0,1,0,-0.21346153,1300
0,1,0,0,0,0,-0.27847221,1300
1,0,0,0,0,0,-0.235,1200
0,0,0,0,1,0,-0.22291666,500
0,1,0,0,0,0,-0.40833333,455
0,0,0,0,1,0,-0.23342857,1400
0,0,0,0,0,1,-0.28333333,1400
0,1,0,0,0,0,-0.3,1100
0,0,0,0,0,0,-0.43333334,5700
0,0,0,0,0,0,-0.32083333,7100
1,0,0,0,0,0,-0.21164021,2300
0,1,0,0,0,0,-0.2,575
0,0,0,0,0,0,-0.125,6000
1,0,0,0,0,0,-0.48214287,752
0,0,0,0,0,0,-0.20833333,1600
0,0,0,0,0,0,-0.33125,417
0,0,1,0,0,0,-0.25,474
0,1,0,0,0,0,-0.41022727,2100
0,0,0,0,0,0,-0.29583332,513
0,0,0,0,0,0,-0.25601852,2200
0,0,0,0,1,0,0,727
0,0,1,0,0,0,-0.3125,648
0,0,0,0,0,1,-0.2857143,450
0,0,0,0,1,0,-0.38809523,1600
0,0,1,0,0,0,-0.1,606
0,1,0,0,0,0,-0.19444445,5000
0,0,0,0,0,0,-0.54,28000
1,0,0,0,0,0,-0.35333332,972
0,0,1,0,0,0,-0.32520834,3800
0,0,0,0,1,0,-0.25178573,1400
0,0,0,0,0,1,-0.18111111,1600
1,0,0,0,0,0,-0.24705882,1300
0,0,1,0,0,0,-0.27882653,1700
0,0,0,0,1,0,-0.5875,2400
0,1,0,0,0,0,-0.3857143,1200
1,0,0,0,0,0,-0.21346153,2400
0,0,0,0,0,1,-0.13958333,1500
0,0,0,0,0,0,-0.27689394,1100
0,0,0,0,1,0,-0.24194677,835
0,0,0,0,0,0,-0.209375,12000
0,0,0,0,1,0,-0.3035173,1200
0,0,0,0,1,0,-0.108333334,4400
0,0,0,0,0,0,-0.36807293,1400
0,1,0,0,0,0,-0.15555556,18000
0,0,0,0,1,0,-0.2125,2900
0,1,0,0,0,0,-0.11666667,1000
1,0,0,0,0,0,-0.21477273,1500
0,0,0,0,1,0,-0.3125,2100
0,0,0,0,1,0,-0.23875,1100
0,0,0,0,0,1,-0.2326389,2200
0,0,0,1,0,0,-0.28333333,9000
0,0,0,0,1,0,-0.12685186,1000
0,0,0,0,1,0,-0.15138888,1500
0,0,0,0,1,0,-0.2872494,1900
0,0,0,0,1,0,-0.35753968,1600
0,0,0,0,0,0,-0.264899,1900
0,0,0,0,1,0,-0.23035714,1600
0,0,0,0,0,0,-0.35277778,3400
0,0,0,0,0,0,-0.20069444,5600
0,0,0,0,0,1,-0.4,2000
0,0,1,0,0,0,-0.24791667,909
0,0,1,0,0,0,-0.20833333,636
0,1,0,0,0,0,-0.475,1900
0,0,0,0,1,0,-0.22114198,1700
0,0,0,0,1,0,-0.14583333,1500
0,1,0,0,0,0,-0.2847222,1700
0,0,0,0,0,0,-0.24768518,1500
1,0,0,0,0,0,-0.23653845,2600
0,0,0,1,0,0,-0.26361609,4900
0,0,0,0,1,0,-0.3975,2700
1,0,0,0,0,0,-0.41666666,498
0,0,0,0,1,0,-0.1,1300
0,0,0,0,0,0,-0.3334467,1300
0,0,1,0,0,0,-0.12928571,811
0,0,1,0,0,0,-0.24375,498
0,0,0,0,1,0,-0.2642857,2800
0,0,0,0,1,0,-0.19444445,1200
0,0,0,0,1,0,-0.24786325,1300
1,0,0,0,0,0,-0.4,866
